timestamp,z1_ac,z1_light,z1_plug,z2_ac,z2_light,z2_plug,z3_light,z3_plug,z4_ac,z4_light,z4_plug,temperature_c,humidity_pct,total_kw,share_z1_ac,share_z1_light,share_z1_plug,share_z2_ac,share_z2_light,share_z2_plug,share_z3_light,share_z3_plug,share_z4_ac,share_z4_light,share_z4_plug,share_ac,share_light,share_plug,share_z1,share_z2,share_z3,share_z4,hour_of_day,day_of_week,is_weekend,month,source,building_id
2019-01-01 00:00:00,0.0,0.3108333333333333,0.09,5.278499999999999,0.0,0.0025,0.14633333333333332,0.23,0.0,0.0,0.0,28.0475,70.59116666666667,6.058166666666667,0.0,0.05130815153099122,0.014855979531761534,0.8713031995378139,0.0,0.00041266609810448705,0.02415472227571597,0.037965281025612814,0.0,0.0,0.0,0.8713031995378139,0.07546287380670719,0.05323392665547884,0.06616413106275275,0.8717158656359184,0.06212000330132879,0.0,0,1,0,1,CU-BEMS,CU_BEMS_Floor2
2019-01-01 01:00:00,0.0,0.314,0.09,5.6161666666666665,0.0,0.0031666666666666666,0.156,0.23,0.0,0.0,0.0,28.0475,70.59116666666667,6.4093333333333335,0.0,0.04899105471187851,0.014042022051175369,0.8762481797378822,0.0,0.0004940711462450593,0.024339504888703973,0.03588516746411483,0.0,0.0,0.0,0.8762481797378822,0.07333055960058248,0.05042126066153526,0.06303307676305388,0.8767422508841273,0.06022467235281881,0.0,1,1,0,1,CU-BEMS,CU_BEMS_Floor2
2019-01-01 02:00:00,0.0,0.3143333333333333,0.09033333333333333,5.566833333333333,0.0,0.0025,0.15633333333333335,0.23,0.0,0.0,0.0,28.0475,70.59116666666667,6.360333333333334,0.0,0.04942088989046695,0.014202609926104502,0.8752423877155285,0.0,0.00039306116031654525,0.0245794245584613,0.03616162674912217,0.0,0.0,0.0,0.8752423877155285,0.07400031444892825,0.05075729783554322,0.06362349981657145,0.8756354488758451,0.06074105130758347,0.0,2,1,0,1,CU-BEMS,CU_BEMS_Floor2
2019-01-01 03:00:00,0.0,0.309,0.08983333333333333,5.433333333333334,0.0,0.0028333333333333335,0.15350000000000003,0.22933333333333333,0.0,0.0,0.0,28.0475,70.59116666666667,6.217833333333333,0.0,0.049695767550325676,0.0144476907818908,0.8738306484037849,0.0,0.0004556785589835688,0.02468705604846276,0.03688315865655239,0.0,0.0,0.0,0.8738306484037849,0.07438282359878844,0.05178652799742676,0.06414345833221648,0.8742863269627684,0.06157021470501515,0.0,3,1,0,1,CU-BEMS,CU_BEMS_Floor2
2019-01-01 04:00:00,0.0,0.31216666666666665,0.09,5.532166666666667,0.0,0.0025,0.15516666666666667,0.23,0.0,0.0,0.0,28.0475,70.59116666666667,6.322000000000001,0.0,0.049377834018770425,0.014236001265422333,0.8750659074132658,0.0,0.00039544447959506484,0.02454392070020036,0.03638089212274597,0.0,0.0,0.0,0.8750659074132658,0.07392175471897078,0.051012337867763366,0.06361383528419276,0.8754613518928609,0.06092481282294633,0.0,4,1,0,1,CU-BEMS,CU_BEMS_Floor2
2019-01-01 05:00:00,0.0,0.31216666666666665,0.09,5.645166666666667,0.0,0.0018333333333333333,0.18233333333333332,0.23,0.0,0.0,0.0,28.0475,70.59116666666667,6.461500000000001,0.0,0.048311795506719275,0.013928654337228195,0.8736619464004746,0.0,0.000283731847610204,0.028218421935051193,0.0355954499729165,0.0,0.0,0.0,0.8736619464004746,0.07653021744177047,0.0498078361577549,0.06224044984394747,0.8739456782480848,0.0638138719079677,0.0,5,1,0,1,CU-BEMS,CU_BEMS_Floor2
2019-01-01 06:00:00,0.0,0.31466666666666665,0.09,5.987833333333334,0.0,0.0016666666666666668,0.15383333333333335,0.22766666666666666,0.0,0.0,0.0,28.0475,70.59116666666667,6.775666666666667,0.0,0.046440694642593594,0.01328282579819944,0.8837260786146506,0.0,0.0002459782555222119,0.02270379298470016,0.03360062970433414,0.0,0.0,0.0,0.8837260786146506,0.06914448762729375,0.04712943375805579,0.059723520440793036,0.8839720568701728,0.056304422689034295,0.0,6,1,0,1,CU-BEMS,CU_BEMS_Floor2
2019-01-01 07:00:00,0.0,0.3115,0.09,5.660666666666667,0.0,0.0008333333333333334,0.15350000000000003,0.22,0.0,0.0,0.0,28.0475,70.59116666666667,6.4365,0.0,0.048395867319195214,0.013982754602656723,0.8794634765270981,0.0,0.0001294699500245993,0.023848364794531195,0.034180066806494214,0.0,0.0,0.0,0.8794634765270981,0.07224423211372641,0.04829229135917554,0.06237862192185194,0.8795929464771227,0.05802843160102541,0.0,7,1,0,1,CU-BEMS,CU_BEMS_Floor2
2019-01-01 08:00:00,0.0,0.31133333333333335,0.09,5.937,0.0,0.0013333333333333333,0.15316666666666665,0.22,0.0,0.0,0.0,28.0475,70.59116666666667,6.712833333333333,0.0,0.0463788266256176,0.013407155448519002,0.884425354420637,0.0,0.00019862452516324446,0.02281699232812771,0.03277304665193534,0.0,0.0,0.0,0.884425354420637,0.06919581895374531,0.046378826625617584,0.0597859820741366,0.8846239789458002,0.05559003898006305,0.0,8,1,0,1,CU-BEMS,CU_BEMS_Floor2
2019-01-01 09:00:00,0.0,0.31033333333333335,0.09,5.9895000000000005,0.0,0.0003333333333333333,0.1396666666666667,0.22,0.0,0.0,0.0,28.0475,70.59116666666667,6.749833333333334,0.0,0.04597644386281143,0.013333662559569371,0.8873552433393418,0.0,4.938393540581249e-05,0.020691868935035437,0.032593397367836244,0.0,0.0,0.0,0.8873552433393418,0.06666831279784687,0.045976443862811425,0.059310106422380805,0.8874046272747476,0.053285266302871684,0.0,9,1,0,1,CU-BEMS,CU_BEMS_Floor2
